Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
207.03,200.58,208.38,200.35,62317430.0,199.13,201.76,197.31,67812280.0,190.3,192.14,189.34,37847260.0
174.32,173.21,175.0,172.73,27817640.0,173.71,175.3,173.17,16991610.0,174.16,175.87,173.95,21846400.0
214.1,216.8,217.19,214.03,25682700.0,218.1,219.18,215.11,30149410.0,213.44,217.95,213.16,35034410.0
111.09,109.88,111.32,108.05,59118740.0,110.31,111.72,109.7,24129630.0,110.08,110.51,109.46,32361930.0
107.09,111.11,111.11,103.5,102731700.0,94.87,108.8,92.0,161882500.0,110.43,111.9,105.65,127246600.0
139.25,138.74,138.79,137.05,22117750.0,138.95,139.8,138.82,18695500.0,139.06,139.98,138.79,17439210.0
186.78,189.01,189.53,187.86,20393070.0,189.49,190.06,187.45,26167950.0,187.74,190.37,187.65,27942430.0
155.81,154.97,155.49,154.56,17223790.0,154.18,155.44,154.05,21215870.0,153.63,153.86,152.46,20088940.0
116.93,115.4,116.54,113.99,67673450.0,118.08,118.13,114.92,66139770.0,116.7,119.23,116.33,59251740.0
210.16,207.7,210.95,207.7,25864510.0,207.36,209.1,206.67,24592460.0,207.28,209.78,207.2,23389530.0
227.93,227.03,227.79,225.64,19029420.0,225.82,228.06,224.33,29282700.0,226.27,229.93,225.84,30889270.0
97.39,97.41,97.67,96.84,25879680.0,97.17,97.7,97.12,24129530.0,96.75,97.65,96.73,23317990.0
184.46,180.29,180.33,177.03,39424260.0,182.66,182.8,177.7,41523580.0,176.73,181.29,174.93,45941750.0
141.26,139.85,141.6,139.76,25804820.0,142.11,142.8,139.73,39461130.0,140.4,141.5,140.23,21258100.0
115.12,113.86,115.73,113.49,90398170.0,108.73,113.03,108.6,111186900.0,107.51,108.79,107.24,62080160.0
157.05,159.28,159.75,156.16,69726440.0,149.1,150.22,148.41,33669020.0,149.9,150.33,148.13,19690420.0
109.88,110.31,111.72,109.7,24129630.0,110.08,110.51,109.46,32361930.0,108.53,110.25,108.11,30790930.0
149.9,149.89,150.23,149.19,17192770.0,153.75,153.99,147.3,32429770.0,153.35,153.93,153.06,15649120.0
296.24,289.93,293.68,289.52,25247630.0,289.46,292.69,285.22,36059610.0,291.12,293.97,288.12,36592940.0
115.29,116.55,116.79,114.22,41511380.0,117.05,118.11,116.08,33316990.0,118.75,118.81,116.86,34806250.0
258.74,256.77,257.49,255.37,18966120.0,257.05,258.19,256.32,19974430.0,257.33,257.85,255.38,25817950.0
160.86,162.09,162.24,160.36,21905160.0,162.71,162.99,160.52,21610300.0,163.75,164.25,160.56,29491910.0
318.62,322.63,324.65,318.21,25141490.0,320.0,324.57,320.0,23495990.0,315.36,319.75,314.61,38190550.0
115.8,116.47,116.5,115.65,44284660.0,115.38,116.73,115.23,46286150.0,115.04,116.2,114.98,33962370.0
